alpha_max,cast_cap,k_shrink,precision,recall
0.8,0.17,5,0.006743421052631579,0.06743421052631579
0.79,0.23,3,0.006743421052631579,0.06743421052631579
0.79,0.24,3,0.006743421052631579,0.06743421052631579
0.79,0.24,5,0.006743421052631579,0.06743421052631579
0.79,0.25,5,0.006743421052631579,0.06743421052631579
0.84,0.22,5,0.006743421052631579,0.06743421052631579
0.79,0.26,5,0.006743421052631579,0.06743421052631579
0.79,0.29,5,0.006743421052631579,0.06743421052631579
0.79,0.3,5,0.006743421052631579,0.06743421052631579
0.79,0.18,5,0.006743421052631579,0.06743421052631579
0.73,0.29,3,0.006743421052631579,0.06743421052631579
0.84,0.28,10,0.006743421052631579,0.06743421052631579
0.88,0.28,10,0.006743421052631579,0.06743421052631579
0.88,0.29,10,0.006743421052631579,0.06743421052631579
0.78,0.24,3,0.006743421052631579,0.06743421052631579
0.78,0.25,3,0.006743421052631579,0.06743421052631579
0.78,0.25,5,0.006743421052631579,0.06743421052631579
0.78,0.26,5,0.006743421052631579,0.06743421052631579
0.78,0.27,5,0.006743421052631579,0.06743421052631579
0.78,0.29,5,0.006743421052631579,0.06743421052631579
0.78,0.3,5,0.006743421052631579,0.06743421052631579
0.78,0.19,5,0.006743421052631579,0.06743421052631579
0.88,0.23,5,0.006743421052631579,0.06743421052631579
0.88,0.24,10,0.006743421052631579,0.06743421052631579
0.88,0.25,10,0.006743421052631579,0.06743421052631579
0.88,0.26,10,0.006743421052631579,0.06743421052631579
0.88,0.27,10,0.006743421052631579,0.06743421052631579
0.77,0.3,5,0.006743421052631579,0.06743421052631579
0.88,0.2,5,0.006743421052631579,0.06743421052631579
0.88,0.21,5,0.006743421052631579,0.06743421052631579
